# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0800EDEC	0x00000000	thumb	sub_800EDEC
0x0800EDF4	0x00000000	thumb	sub_800EDF4
0x0800EDFC	0x00000000	thumb	sub_800EDFC
0x0800EE7C	0x00000000	thumb	sub_800EE7C
0x0800F140	0x00000000	thumb	sub_800F140
0x0800F2D8	0x00000000	thumb	sub_800F2D8
0x0800F3C8	0x00000000	thumb	sub_800F3C8
0x0800F4F8	0x00000000	thumb	sub_800F4F8
0x0800F618	0x00000000	thumb	sub_800F618
0x0800F77C	0x00000000	thumb	sub_800F77C
0x0800F828	0x00000000	thumb	sub_800F828
0x0800FAB0	0x00000000	thumb	sub_800FAB0
0x0800FD18	0x00000000	thumb	singlelink_main
0x0800FFEC	0x00000000	thumb	sub_800FFEC
0x08011042	0x00000000	thumb	sub_8011042
0x080110D6	0x00000000	thumb	sub_80110D6
0x08011170	0x00000000	thumb	def_80101AC
0x080111A8	0x00000000	thumb	sub_80111A8
0x08011384	0x00000000	thumb	sub_8011384
0x080113CC	0x00000000	thumb	sub_80113CC
0x080113F4	0x00000000	thumb	sub_80113F4
0x08011424	0x00000000	thumb	sub_8011424
0x08011430	0x00000000	thumb	sub_8011430
0x08011450	0x00000000	thumb	sub_8011450
0x08011474	0x00000000	thumb	main_dummyIrqHandler5
0x08011478	0x00000000	thumb	sub_8011478
0x08011524	0x00000000	thumb	sub_8011524
0x08011A40	0x00000000	thumb	sub_8011A40
0x08011AB8	0x00000000	thumb	sub_8011AB8
0x08011B0C	0x00000000	thumb	sub_8011B0C
0x08011C40	0x00000000	thumb	sub_8011C40
0x08011D5C	0x00000000	thumb	sub_8011D5C
0x08011D98	0x00000000	thumb	sub_8011D98
0x08011DA8	0x00000000	thumb	sub_8011DA8
0x08011DF0	0x00000000	thumb	sub_8011DF0
0x08011EE0	0x00000000	thumb	sub_8011EE0
0x08011FFC	0x00000000	thumb	sub_8011FFC
0x080120CC	0x00000000	thumb	sub_80120CC
0x08012254	0x00000000	thumb	sub_8012254
0x08012370	0x00000000	thumb	sub_8012370
0x08012388	0x00000000	thumb	sub_8012388
0x080123D8	0x00000000	thumb	sub_80123D8
0x08012578	0x00000000	thumb	sub_8012578
0x08012584	0x00000000	thumb	sub_8012584
0x080125CC	0x00000000	thumb	sub_80125CC
0x080127E4	0x00000000	thumb	sub_80127E4
0x080128D0	0x00000000	thumb	sub_80128D0
0x08012980	0x00000000	thumb	sub_8012980
0x08012C9C	0x00000000	thumb	sub_8012C9C
0x08012DC4	0x00000000	thumb	sub_8012DC4
0x08012ED0	0x00000000	thumb	sub_8012ED0
0x08012FC8	0x00000000	thumb	sub_8012FC8
0x08013134	0x00000000	thumb	sub_8013134
0x080131DC	0x00000000	thumb	sub_80131DC
0x08013598	0x00000000	thumb	multilink_main
0x08013B38	0x00000000	thumb	sub_8013B38
0x08013D40	0x00000000	thumb	sub_8013D40
0x08013E80	0x00000000	thumb	sub_8013E80
0x08013F04	0x00000000	thumb	sub_8013F04
0x08013F24	0x00000000	thumb	sub_8013F24
0x08013F60	0x00000000	thumb	sub_8013F60
0x08013FA0	0x00000000	thumb	sub_8013FA0
0x08013FF0	0x00000000	thumb	sub_8013FF0
0x08014044	0x00000000	thumb	sub_8014044
0x0801404C	0x00000000	thumb	sub_801404C
0x080140B8	0x00000000	thumb	sub_80140B8
0x08014128	0x00000000	thumb	sub_8014128
0x080142CC	0x00000000	thumb	sub_80142CC
0x080143D0	0x00000000	thumb	sub_80143D0
0x0801445C	0x00000000	thumb	sub_801445C
0x08014480	0x00000000	thumb	sub_8014480
0x08014624	0x00000000	thumb	sub_8014624
0x080146AC	0x00000000	thumb	sub_80146AC
0x08014850	0x00000000	thumb	sub_8014850
0x080149AC	0x00000000	thumb	sub_80149AC
0x08014C9C	0x00000000	thumb	sub_8014C9C
0x08014D34	0x00000000	thumb	sub_8014D34
0x08014E1C	0x00000000	thumb	sub_8014E1C
0x080150F0	0x00000000	thumb	sub_80150F0
0x08015190	0x00000000	thumb	sub_8015190
0x08015268	0x00000000	thumb	sub_8015268
0x0801528C	0x00000000	thumb	sub_801528C
0x080152B0	0x00000000	thumb	sub_80152B0
0x080152D4	0x00000000	thumb	sub_80152D4
0x080152F8	0x00000000	thumb	sub_80152F8
0x0801531C	0x00000000	thumb	sub_801531C
0x08015330	0x00000000	thumb	sub_8015330
0x0801534C	0x00000000	thumb	sub_801534C
0x08015578	0x00000000	thumb	sub_8015578
0x0801572C	0x00000000	thumb	sub_801572C
0x08015878	0x00000000	thumb	sub_8015878
0x08015944	0x00000000	thumb	sub_8015944
0x08015D58	0x00000000	thumb	sub_8015D58
0x08015E94	0x00000000	thumb	sub_8015E94
0x0801600C	0x00000000	thumb	sub_801600C
0x08016284	0x00000000	thumb	sub_8016284
0x08016320	0x00000000	thumb	sub_8016320
0x0801661C	0x00000000	thumb	sub_801661C
0x080166D8	0x00000000	thumb	sub_80166D8
0x0801670C	0x00000000	thumb	sub_801670C
0x08016740	0x00000000	thumb	sub_8016740
0x08016778	0x00000000	thumb	sub_8016778
0x0801681C	0x080168A3	thumb	error_vblank
0x080168A4	0x08016B97	thumb	error_loadGraphics
0x08016B98	0x08016D8F	thumb	error_main
0x08016D90	0x00000000	thumb	error_8016D90
0x08016F28	0x08016FDB	thumb	sub_8016F28
0x08016FDC	0x08017047	thumb	sub_8016FDC
0x08017048	0x0801708B	thumb	sub_8017048
0x0801708C	0x080170DB	thumb	sub_801708C
0x080170DC	0x08017127	thumb	sub_80170DC
0x08017128	0x08017133	thumb	sub_8017128
0x08017134	0x0801715B	thumb	sub_8017134
0x0801715C	0x0801716F	thumb	sub_801715C
0x08017170	0x00000000	thumb	sub_8017170
0x08017248	0x00000000	thumb	sub_8017248
0x0801740C	0x00000000	thumb	sub_801740C
0x080174A8	0x00000000	thumb	sub_80174A8
0x080174DC	0x00000000	thumb	sub_80174DC
0x080178BC	0x00000000	thumb	sub_80178BC
0x08017918	0x00000000	thumb	sub_8017918
0x08017C30	0x00000000	thumb	sub_8017C30
0x080180D8	0x00000000	thumb	sub_80180D8
0x080183B8	0x00000000	thumb	sub_80183B8
0x08018630	0x00000000	thumb	sub_8018630
0x08018790	0x00000000	thumb	sub_8018790
0x08018814	0x00000000	thumb	sub_8018814
0x08018A04	0x00000000	thumb	sub_8018A04
0x08018C00	0x00000000	thumb	sub_8018C00
0x08018D58	0x00000000	thumb	sub_8018D58
0x08018E18	0x00000000	thumb	sub_8018E18
0x08018ED8	0x00000000	thumb	sub_8018ED8
0x08018FBC	0x00000000	thumb	sub_8018FBC
0x08019098	0x00000000	thumb	sub_8019098
0x080192A8	0x00000000	thumb	sub_80192A8
0x080193DC	0x00000000	thumb	sub_80193DC
0x08019464	0x00000000	thumb	sub_8019464
0x0801951C	0x00000000	thumb	sub_801951C
0x08019680	0x00000000	thumb	sub_8019680
0x080197A4	0x00000000	thumb	sub_80197A4
0x08019874	0x00000000	thumb	sub_8019874
0x0801A2EA	0x00000000	thumb	def_8019976
0x0801A43A	0x00000000	thumb	sub_801A43A
0x0801A44C	0x00000000	thumb	sub_801A44C
0x0801A4D8	0x00000000	thumb	sub_801A4D8
0x0801A84C	0x00000000	thumb	sub_801A84C
0x0801AB24	0x00000000	thumb	sub_801AB24
0x0801AC18	0x00000000	thumb	sub_801AC18
0x0801AE68	0x00000000	thumb	sub_801AE68
0x0801AEDC	0x00000000	thumb	sub_801AEDC
0x0801AF80	0x00000000	thumb	sub_801AF80
0x0801B048	0x00000000	thumb	sub_801B048
0x0801B1C0	0x00000000	thumb	sub_801B1C0
0x0801B304	0x00000000	thumb	sub_801B304
0x0801B3B4	0x00000000	thumb	sub_801B3B4
0x0801B4BC	0x00000000	thumb	sub_801B4BC
0x0801B8D8	0x00000000	thumb	sub_801B8D8
0x0801BC5C	0x00000000	thumb	sub_801BC5C
0x0801BEF8	0x00000000	thumb	sub_801BEF8
0x0801C070	0x00000000	thumb	sub_801C070
0x0801C198	0x00000000	thumb	sub_801C198
0x0801C298	0x00000000	thumb	sub_801C298
0x0801C3B0	0x00000000	thumb	sub_801C3B0
0x0801C48C	0x00000000	thumb	sub_801C48C
0x0801C780	0x00000000	thumb	sub_801C780
0x0801C878	0x00000000	thumb	sub_801C878
0x0801C9B4	0x00000000	thumb	sub_801C9B4
0x0801CACC	0x00000000	thumb	sub_801CACC
0x0801CC10	0x00000000	thumb	sub_801CC10
0x0801CC74	0x00000000	thumb	sub_801CC74
0x0801CD5C	0x00000000	thumb	sub_801CD5C
0x0801CED0	0x00000000	thumb	ghost_main
0x0801CFD4	0x00000000	thumb	sub_801CFD4
0x0801D010	0x00000000	thumb	sub_801D010
0x0801D0AC	0x00000000	thumb	sub_801D0AC
0x0801D0E4	0x00000000	thumb	sub_801D0E4
0x0801D160	0x00000000	thumb	sub_801D160
0x0801D1C4	0x00000000	thumb	sub_801D1C4
0x0801D240	0x00000000	thumb	sub_801D240
0x0801D25C	0x00000000	thumb	sub_801D25C
0x0801D274	0x00000000	thumb	sub_801D274
0x0801D28C	0x00000000	thumb	sub_801D28C
0x0801D2A4	0x00000000	thumb	sub_801D2A4
0x0801D33C	0x00000000	thumb	sub_801D33C
0x0801D3D0	0x00000000	thumb	sub_801D3D0
0x0801D9D8	0x00000000	thumb	sub_801D9D8
0x0801DAA4	0x00000000	thumb	sub_801DAA4
0x0801DC7C	0x00000000	thumb	sub_801DC7C
0x0801DD58	0x00000000	thumb	sub_801DD58
0x0801E0B8	0x00000000	thumb	sub_801E0B8
0x0801E248	0x00000000	thumb	sub_801E248
0x0801E7C8	0x00000000	thumb	sub_801E7C8
0x0801FDEC	0x00000000	thumb	sub_801FDEC
0x0801FDEE	0x00000000	thumb	def_801E7F6
0x0801FF70	0x00000000	thumb	sub_801FF70
0x08020008	0x00000000	thumb	sub_8020008
0x0802009C	0x00000000	thumb	sub_802009C
0x080206A4	0x00000000	thumb	sub_80206A4
0x08020770	0x00000000	thumb	sub_8020770
0x0802095C	0x00000000	thumb	sub_802095C
0x08020CC0	0x00000000	thumb	sub_8020CC0
0x0802123C	0x00000000	thumb	sub_802123C
0x08021AFC	0x00000000	thumb	sub_8021AFC
0x08021BEC	0x00000000	thumb	sub_8021BEC
0x08022004	0x00000000	thumb	sub_8022004
0x08022264	0x00000000	thumb	sub_8022264
0x08022374	0x00000000	thumb	sub_8022374
0x08022564	0x00000000	thumb	sub_8022564
0x08022680	0x00000000	thumb	sub_8022680
0x08022704	0x00000000	thumb	sub_8022704
0x08023462	0x00000000	thumb	sub_8023462
0x08023478	0x00000000	thumb	def_8022734
0x080235AC	0x00000000	thumb	sub_80235AC
0x08023610	0x00000000	thumb	sub_8023610
0x080236F0	0x00000000	thumb	sub_80236F0
0x08023920	0x00000000	thumb	sub_8023920
0x08023AE8	0x00000000	thumb	sub_8023AE8
0x080247C8	0x00000000	thumb	sub_80247C8
0x080247CA	0x00000000	thumb	def_8023B20
0x080248F4	0x00000000	thumb	sub_80248F4
0x08024970	0x00000000	thumb	sub_8024970
0x08024A48	0x00000000	thumb	sub_8024A48
0x08024B1C	0x00000000	thumb	sub_8024B1C
0x08024D2C	0x00000000	thumb	sub_8024D2C
0x08024E88	0x00000000	thumb	sub_8024E88
0x08025980	0x00000000	thumb	sub_8025980
0x08025BBA	0x00000000	thumb	sub_8025BBA
0x08025BBC	0x00000000	thumb	def_8024EC0
0x08025CF0	0x00000000	thumb	sub_8025CF0
0x08025D70	0x00000000	thumb	sub_8025D70
0x0802650C	0x00000000	thumb	sub_802650C
0x080267C4	0x00000000	thumb	sub_80267C4
0x08026F50	0x00000000	thumb	sub_8026F50
0x080278E0	0x00000000	thumb	sub_80278E0
0x08027A6C	0x00000000	thumb	sub_8027A6C
0x08027F00	0x00000000	thumb	sub_8027F00
0x08028044	0x00000000	thumb	sub_8028044
0x080280FC	0x00000000	thumb	sub_80280FC
0x08028170	0x00000000	thumb	sub_8028170
0x080281D8	0x00000000	thumb	sub_80281D8
0x0802823C	0x00000000	thumb	sub_802823C
0x080282F4	0x00000000	thumb	sub_80282F4
0x080283F0	0x00000000	thumb	sub_80283F0
0x08028524	0x00000000	thumb	sub_8028524
0x080285F4	0x00000000	thumb	sub_80285F4
0x080287A8	0x00000000	thumb	sub_80287A8
0x08028B90	0x00000000	thumb	sub_8028B90
0x08029760	0x00000000	thumb	sub_8029760
0x080297A8	0x00000000	thumb	sub_80297A8
0x08029C38	0x00000000	thumb	sub_8029C38
0x08029CB8	0x00000000	thumb	sub_8029CB8
0x08029E38	0x00000000	thumb	sub_8029E38
0x0802A13C	0x00000000	thumb	sub_802A13C
0x0802A594	0x00000000	thumb	sub_802A594
0x0802AAE4	0x00000000	thumb	sub_802AAE4
0x0802AEEC	0x00000000	thumb	sub_802AEEC
0x0802B134	0x00000000	thumb	sub_802B134
0x0802B2BC	0x00000000	thumb	sub_802B2BC
0x0802B630	0x00000000	thumb	sub_802B630
0x0802BA24	0x00000000	thumb	sub_802BA24
0x0802BA90	0x00000000	thumb	sub_802BA90
0x0802BAB0	0x00000000	thumb	sub_802BAB0
0x0802BF78	0x00000000	thumb	sub_802BF78
0x0802BF94	0x00000000	thumb	sub_802BF94
