# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x0802C06C	thumb	sub_802C06C
0x0802C7F4	thumb	sub_802C7F4
0x0802CB7C	thumb	sub_802CB7C
0x0802CEA4	thumb	sub_802CEA4
0x0802CF78	thumb	sub_802CF78
0x0802D07C	thumb	sub_802D07C
0x0802D0A4	thumb	sub_802D0A4
0x0802D0DC	thumb	AgbMain
0x0802D2BC	thumb	vblankHandler
0x0802D324	thumb	vcountHandler
0x0802D330	thumb	initKeys
0x0802D398	thumb	updateKeys
0x0802D438	thumb	main_setKeyRepeat
0x0802D458	thumb	main_getKeys
0x0802D47C	thumb	main_getTriggerKeys
0x0802D4A0	thumb	main_getRepeatTriggerKeys
0x0802D4C4	thumb	main_checkKeys
0x0802D4EC	thumb	main_checkKeysTriggered
0x0802D514	thumb	main_checkKeysRepeatTriggered
0x0802D53C	thumb	main_configureIoRegs
0x0802D560	thumb	main_waitVBlankFlag
0x0802D57C	thumb	main_waitNotVBlankFlag
0x0802D598	thumb	main_copyThumbFunc
0x0802D5C0	thumb	main_seedRandom
0x0802D5D0	thumb	main_getRandom
0x0802D5F0	thumb	main_dummyIrqHandler
0x0802D5F4	thumb	main_getVBlankCheckFlag
0x0802D604	thumb	main_restoreVBlankCheckFlag
0x0802D61C	thumb	main_frameProc
0x0802D648	thumb	main_increaseFrameCounter
0x0802D658	thumb	main_setVBlankCheckFlag
0x0802D670	thumb	main_getFrameCounter
0x0802D67C	thumb	main_setFrameCounter
0x0802D688	thumb	frmheap_init
0x0802D6B0	thumb	frmheap_reset
0x0802D6B8	thumb	frmheap_calloc
0x0802D708	thumb	sub_802D708
0x0802D764	thumb	sio2_vblank
0x0802D82C	thumb	sio2_update
0x0802DC30	thumb	sub_802DC30
0x0802DC44	thumb	sio2_stop
0x0802DC88	thumb	sub_802DC88
0x0802DCB4	thumb	sub_802DCB4
0x0802DCF0	thumb	sub_802DCF0
0x0802DF08	thumb	sub_802DF08
0x0802E010	thumb	sub_802E010
0x0802E0D4	thumb	sub_802E0D4
0x0802E1C4	thumb	sub_802E1C4
0x0802E2A8	thumb	sub_802E2A8
0x0802E4DC	thumb	sub_802E4DC
0x0802E548	thumb	sub_802E548
0x0802E5C4	thumb	sub_802E5C4
0x0802E5E8	thumb	sub_802E5E8
0x0802E60C	thumb	sub_802E60C
0x0802E628	thumb	sub_802E628
0x0802E630	thumb	pltt_getBuffer
0x0802E63C	thumb	pltt_clearBuffer
0x0802E668	thumb	pltt_setDirtyFlag
0x0802E674	thumb	pltt_copyBufferToHw
0x0802E6A4	thumb	map_getBufferPtr
0x0802E6B0	thumb	map_getBufferPtr2d
0x0802E6C4	thumb	map_setBufferDestination
0x0802E6D4	thumb	map_clearBuffer
0x0802E6FC	thumb	map_setBufferDirty
0x0802E710	thumb	map_copyBuffersToHw
0x0802E778	thumb	sub_802E778
0x0802E8B8	thumb	sub_802E8B8
0x0802EA9C	thumb	sub_802EA9C
0x0802EAEC	thumb	sub_802EAEC
0x0802EBC0	thumb	sub_802EBC0
0x0802EC38	thumb	sub_802EC38
0x0802EC54	thumb	list_insertHeadSingle
0x0802EC64	thumb	list_insertTailSingle
0x0802EC7C	thumb	list_takeHeadSingle
0x0802EC90	thumb	list_isEmpty
0x0802ECA0	thumb	list_getHead
0x0802ECA4	thumb	list_getTail
0x0802ECA8	thumb	list_getNext
0x0802ECAC	thumb	list_getPrevious
0x0802ECB0	thumb	list_insertHead
0x0802ECC8	thumb	list_insertTail
0x0802ECE0	thumb	list_insertBefore
0x0802ECF8	thumb	list_insertAfter
0x0802ED10	thumb	list_takeHead
0x0802ED2C	thumb	list_takeTail
0x0802ED48	thumb	list_remove
0x0802ED78	thumb	list_init
0x0802ED80	thumb	actlist_isEmpty
0x0802ED90	thumb	actlist_init
0x0802ED98	thumb	actlist_insertHead
0x0802EDB0	thumb	actlist_insertTail
0x0802EDC8	thumb	actlist_insertBefore
0x0802EDE0	thumb	actlist_insertAfter
0x0802EDF8	thumb	actlist_takeHead
0x0802EE14	thumb	actlist_takeTail
0x0802EE30	thumb	actlist_remove
0x0802EE80	thumb	actlist_clear
0x0802EE88	thumb	sortByCheckpoint
0x0802EF3C	thumb	collideActiveActiveFast
0x0802F164	thumb	collideActiveActive
0x0802F224	thumb	collideActivePassiveFast
0x0802F444	thumb	collideActivePassive
0x0802F500	thumb	col_addActive
0x0802F524	thumb	col_addPassive
0x0802F548	thumb	col_clearLists
0x0802F550	thumb	col_collide
0x0802F5C0	thumb	sub_802F5C0
0x0802F5F4	thumb	sub_802F5F4
0x0802F608	thumb	sub_802F608
0x0802F61C	thumb	sub_802F61C
0x0802F638	thumb	sub_802F638
0x0802F674	thumb	sub_802F674
0x0802F6BC	thumb	oam_renderCell
0x0802FA1C	thumb	oam_renderCellData
0x0802FC48	thumb	oam_802FC48
0x0802FCC8	thumb	oam_init
0x0802FD3C	thumb	oam_update
0x0802FD94	thumb	oam_reset
0x0802FDF8	thumb	oam_dmaCopyToHw
0x0802FE24	thumb	oam_cpuCopyToHw
0x0802FE4C	thumb	oam_802FE4C
0x0802FE58	thumb	oam_renderMipmapCellDataUniform
0x0802FEC0	thumb	oam_renderMipmapCellData
0x0802FF30	thumb	oam_renderCellDataSimple
0x0802FF58	thumb	sub_802FF58
0x0802FF90	thumb	oam_bufferCellAffineMtx
0x0802FFE0	thumb	oam_renderAllCells
0x08030004	thumb	sub_8030004
0x080301A8	thumb	sub_80301A8
0x08030224	thumb	sub_8030224
0x08030278	thumb	sub_8030278
0x08030280	thumb	sub_8030280
0x0803028C	thumb	nullsub_10
0x08030290	thumb	sub_8030290
0x080302A8	thumb	dmaq_process
0x0803039C	thumb	dmaq_init
0x080303C0	thumb	dmaq_reset
0x080303E4	thumb	dmaq_enqueue
0x08030434	thumb	dmaq_getVBlankDmaQueue
0x0803043C	thumb	dmaq_beginUse
0x08030450	thumb	dmaq_endUse
0x08030458	thumb	vcount_init
0x08030498	thumb	vcount_reset
0x080304CC	thumb	vcount_register
0x0803054C	thumb	vcount_unregister
0x08030560	thumb	vcount_irqHandler
0x080305A4	thumb	trns_update
0x08030618	thumb	trns_init
0x08030630	thumb	trns_start
0x08030660	thumb	trns_initDefaultInTransition
0x0803068C	thumb	trns_applyDefaultInTransition
0x080306D8	thumb	trns_finishDefaultInTransition
0x080306FC	thumb	trns_initDefaultOutTransition
0x08030738	thumb	trns_applyDefaultOutTransition
